Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Niemcy;Peacock;2003-07-12;10250;
Niemcy;Leverling;2003-07-15;10251;
Niemcy;Peacock;2003-07-11;10252;
Niemcy;Leverling;2003-07-16;10253;
Niemcy;Leverling;2003-07-17;10256;
Niemcy;Peacock;2003-07-22;10257;
Niemcy;Davolio;2003-07-23;10258;
Niemcy;Peacock;2003-07-25;10259;
Niemcy;Peacock;2003-07-29;10260;
Niemcy;Peacock;2003-07-30;10261;
Niemcy;Callahan;2003-07-25;10262;
Niemcy;Fuller;2003-08-12;10265;
Niemcy;Leverling;2003-07-31;10266;
Niemcy;Peacock;2003-08-06;10267;
Niemcy;Callahan;2003-08-02;10268;
Niemcy;Davolio;2003-08-02;10270;
Niemcy;Leverling;2003-08-12;10273;
Niemcy;Davolio;2003-08-09;10275;
Niemcy;Callahan;2003-08-14;10276;
Niemcy;Fuller;2003-08-13;10277;
Niemcy;Callahan;2003-08-16;10278;
Niemcy;Callahan;2003-08-16;10279;
Niemcy;Fuller;2003-09-12;10280;
Niemcy;Peacock;2003-08-21;10281;
Niemcy;Peacock;2003-08-21;10282;
Niemcy;Leverling;2003-08-23;10283;
Niemcy;Peacock;2003-08-27;10284;
Niemcy;Davolio;2003-08-26;10285;
Niemcy;Callahan;2003-08-30;10286;
Niemcy;Callahan;2003-08-28;10287;
Niemcy;Peacock;2003-09-03;10288;
Niemcy;Callahan;2003-09-03;10290;
Niemcy;Davolio;2003-09-02;10292;
Niemcy;Davolio;2003-09-11;10293;
Niemcy;Peacock;2003-09-05;10294;
Niemcy;Fuller;2003-09-10;10295;
Niemcy;Peacock;2003-09-13;10299;
Niemcy;Fuller;2003-09-18;10300;
Niemcy;Callahan;2003-09-17;10301;
Niemcy;Peacock;2003-10-09;10302;
Niemcy;Davolio;2003-09-17;10304;
Niemcy;Callahan;2003-10-09;10305;
Niemcy;Davolio;2003-09-23;10306;
Niemcy;Fuller;2003-09-25;10307;
Niemcy;Leverling;2003-10-23;10309;
Niemcy;Callahan;2003-09-27;10310;
Niemcy;Davolio;2003-09-26;10311;
Niemcy;Fuller;2003-10-03;10312;
Niemcy;Fuller;2003-10-04;10313;
Niemcy;Davolio;2003-10-04;10314;
Niemcy;Peacock;2003-10-03;10315;
Niemcy;Davolio;2003-10-08;10316;
Niemcy;Callahan;2003-10-04;10318;
Niemcy;Leverling;2003-10-11;10321;
Niemcy;Peacock;2003-10-14;10323;
Niemcy;Davolio;2003-10-14;10325;
Niemcy;Peacock;2003-10-14;10326;
Niemcy;Fuller;2003-10-14;10327;
Niemcy;Peacock;2003-10-17;10328;
Niemcy;Peacock;2003-10-23;10329;
Niemcy;Leverling;2003-10-28;10330;
Niemcy;Leverling;2003-10-21;10332;
Niemcy;Callahan;2003-10-28;10334;
Niemcy;Peacock;2003-10-29;10337;
Niemcy;Peacock;2003-10-29;10338;
Niemcy;Fuller;2003-11-04;10339;
Niemcy;Davolio;2003-11-08;10340;
Niemcy;Peacock;2003-11-04;10342;
Niemcy;Peacock;2003-11-06;10343;
Niemcy;Peacock;2003-11-05;10344;
Niemcy;Fuller;2003-11-11;10345;
Niemcy;Leverling;2003-11-08;10346;
Niemcy;Peacock;2003-11-08;10347;
Niemcy;Peacock;2003-11-15;10348;
Niemcy;Davolio;2003-11-20;10351;
Niemcy;Leverling;2003-11-18;10352;
Niemcy;Callahan;2003-11-20;10354;
Niemcy;Davolio;2003-12-02;10357;
Niemcy;Peacock;2003-12-02;10360;
Niemcy;Davolio;2003-12-03;10361;
Niemcy;Leverling;2003-11-28;10362;
Niemcy;Peacock;2003-12-04;10363;
Niemcy;Davolio;2003-12-04;10364;
Niemcy;Leverling;2003-12-02;10365;
Niemcy;Callahan;2003-12-30;10366;
Niemcy;Fuller;2003-12-02;10368;
Niemcy;Callahan;2003-12-09;10369;
Niemcy;Davolio;2003-12-24;10371;
Niemcy;Peacock;2003-12-11;10373;
Niemcy;Davolio;2003-12-09;10374;
Niemcy;Leverling;2003-12-09;10375;
Niemcy;Davolio;2003-12-13;10376;
Niemcy;Davolio;2003-12-13;10377;
Niemcy;Fuller;2003-12-13;10379;
Niemcy;Callahan;2004-01-16;10380;
Niemcy;Leverling;2003-12-13;10381;
Niemcy;Peacock;2003-12-16;10382;
Niemcy;Callahan;2003-12-18;10383;
Niemcy;Leverling;2003-12-20;10384;
Niemcy;Davolio;2003-12-23;10385;
Niemcy;Davolio;2003-12-20;10387;
